,George:unzip_reference,George:makeBWAIndex,George:makeBT2Index,George:makeFastaIndex,George:makeSeqDict,George:convertBam,George:indexinputbam,George:fastqc,George:fastp,George:adapter_removal,George:post_ar_fastq_trimming,George:lanemerge,George:lanemerge_hostremoval_fastq,George:fastqc_after_clipping,George:bwa,George:bwamem,George:circulargenerator,George:circularmapper,George:bowtie2,George:hostremoval_input_fastq,George:seqtype_merge,George:samtools_flagstat,George:samtools_filter,George:samtools_flagstat_after_filter,George:endorSpy,George:dedup,George:markduplicates,George:library_merge,George:preseq,George:bedtools,George:damageprofiler,George:mapdamage_rescaling,George:pmdtools,George:bam_trim,George:additional_library_merge,George:qualimap,George:genotyping_ug,George:genotyping_hc,George:genotyping_freebayes,George:genotyping_pileupcaller,George:eigenstrat_snp_coverage,George:genotyping_angsd,George:bcftools_stats,George:vcf2genome,George:multivcfanalyzer,George:mtnucratio,George:sexdeterrmine_prep,George:sexdeterrmine,George:nuclear_contamination,George:print_nuclear_contamination,George:metagenomic_complexity_filter,George:malt,George:maltextract,George:decomp_kraken,George:kraken,George:kraken_parse,George:kraken_merge,George:output_documentation,George:get_software_versions,George:multiqc
George:get_test_data,0.08333333333333333,0.09333333333333334,0.0958904109589041,0.08860759493670886,0.09333333333333334,0.0958904109589041,0.1527777777777778,0.08791208791208792,0.06521739130434782,0.07514450867052024,0.06796116504854369,0.09302325581395349,0.09090909090909091,0.10344827586206896,0.08870967741935484,0.10679611650485436,0.1111111111111111,0.09302325581395349,0.06626506024096386,0.07608695652173914,0.09174311926605505,0.08955223880597014,0.08333333333333333,0.08571428571428572,0.08333333333333333,0.1,0.10784313725490197,0.08695652173913043,0.09803921568627451,0.07407407407407407,0.09302325581395349,0.11827956989247312,0.07792207792207792,0.10309278350515463,0.11627906976744186,0.13414634146341464,0.0916030534351145,0.0784313725490196,0.12903225806451613,0.09448818897637795,0.09090909090909091,0.088,0.09722222222222222,0.1,0.1188118811881188,0.08823529411764706,0.11475409836065574,0.14285714285714285,0.05813953488372093,0.11666666666666667,0.08108108108108109,0.10434782608695652,0.10256410256410256,0.09523809523809523,0.09782608695652174,0.09375,0.10344827586206896,0.10714285714285714,0.04736842105263158,0.08396946564885496
George:data_integrity,0.1,0.10526315789473684,0.10752688172043011,0.10101010101010101,0.10526315789473684,0.10752688172043011,0.1276595744680851,0.11926605504587157,0.1,0.09424083769633508,0.09917355371900827,0.10377358490566038,0.08080808080808081,0.13333333333333333,0.12056737588652482,0.14166666666666666,0.13,0.1310344827586207,0.08108108108108109,0.10909090909090909,0.08396946564885496,0.10344827586206896,0.11409395973154363,0.1,0.09782608695652174,0.11627906976744186,0.11475409836065574,0.0962962962962963,0.11570247933884298,0.1111111111111111,0.125,0.14414414414414414,0.08620689655172414,0.13043478260869565,0.12264150943396226,0.1485148514851485,0.1292517006802721,0.10833333333333334,0.16363636363636364,0.11724137931034483,0.10309278350515463,0.10416666666666667,0.10869565217391304,0.1271186440677966,0.14285714285714285,0.10227272727272728,0.0963855421686747,0.14432989690721648,0.09615384615384616,0.125,0.09574468085106383,0.12781954887218044,0.15151515151515152,0.09523809523809523,0.11711711711711711,0.09411764705882353,0.11538461538461539,0.11842105263157894,0.05714285714285714,0.09271523178807947
George:q2_import,0.056818181818181816,0.1111111111111111,0.1134020618556701,0.10679611650485436,0.1111111111111111,0.08,0.08823529411764706,0.10434782608695652,0.07692307692307693,0.07,0.078125,0.0990990990990991,0.07692307692307693,0.11711711711711711,0.07947019867549669,0.09230769230769231,0.11320754716981132,0.08333333333333333,0.06217616580310881,0.07627118644067797,0.05755395683453238,0.10989010989010989,0.08227848101265822,0.10638297872340426,0.09278350515463918,0.08759124087591241,0.09302325581395349,0.06993006993006994,0.08527131782945736,0.09523809523809523,0.08928571428571429,0.09090909090909091,0.0718232044198895,0.08,0.08771929824561403,0.1,0.08227848101265822,0.08661417322834646,0.10833333333333334,0.07741935483870968,0.09803921568627451,0.07894736842105263,0.11458333333333333,0.078125,0.09302325581395349,0.0967741935483871,0.09090909090909091,0.11538461538461539,0.07207207207207207,0.11764705882352941,0.09090909090909091,0.08391608391608392,0.08275862068965517,0.06593406593406594,0.10256410256410256,0.06521739130434782,0.09523809523809523,0.1111111111111111,0.06572769953051644,0.06918238993710692
George:q2_cutadapt,0.07894736842105263,0.125,0.12790697674418605,0.11956521739130435,0.125,0.0898876404494382,0.0989010989010989,0.11538461538461539,0.09523809523809523,0.07407407407407407,0.09482758620689655,0.09900990099009901,0.07446808510638298,0.13,0.08571428571428572,0.10084033613445378,0.12631578947368421,0.0896551724137931,0.060109289617486336,0.09433962264150944,0.0625,0.1111111111111111,0.08843537414965986,0.10714285714285714,0.10465116279069768,0.104,0.1016949152542373,0.07575757575757576,0.09322033898305085,0.09473684210526316,0.09900990099009901,0.1,0.07017543859649122,0.09734513274336283,0.0970873786407767,0.12244897959183673,0.0958904109589041,0.10434782608695652,0.11926605504587157,0.08333333333333333,0.10989010989010989,0.0851063829787234,0.11627906976744186,0.09482758620689655,0.1111111111111111,0.10975609756097561,0.1038961038961039,0.11702127659574468,0.08,0.13513513513513514,0.10227272727272728,0.09923664122137404,0.09774436090225563,0.075,0.11320754716981132,0.07407407407407407,0.1095890410958904,0.12857142857142856,0.058823529411764705,0.07432432432432433
George:q2_dada2,0.057692307692307696,0.09482758620689655,0.09649122807017543,0.09166666666666666,0.09482758620689655,0.06837606837606838,0.07563025210084033,0.09090909090909091,0.07518796992481203,0.06451612903225806,0.0763888888888889,0.07751937984496124,0.05737704918032787,0.1015625,0.07142857142857142,0.08163265306122448,0.0975609756097561,0.07514450867052024,0.052132701421800945,0.07462686567164178,0.05128205128205128,0.08256880733944955,0.07428571428571429,0.08035714285714286,0.07894736842105263,0.08496732026143791,0.0821917808219178,0.0625,0.07534246575342465,0.07317073170731707,0.07751937984496124,0.07971014492753623,0.06030150753768844,0.07801418439716312,0.07633587786259542,0.09523809523809523,0.08045977011494253,0.08391608391608392,0.0948905109489051,0.06976744186046512,0.08403361344537816,0.07100591715976332,0.08771929824561403,0.0763888888888889,0.0896551724137931,0.08181818181818182,0.0761904761904762,0.09016393442622951,0.0625,0.09803921568627451,0.07758620689655173,0.08176100628930817,0.08074534161490683,0.05555555555555555,0.08955223880597014,0.05504587155963303,0.07920792079207921,0.09183673469387756,0.05172413793103448,0.0625
George:q2_dbotu3,0.050505050505050504,0.1,0.10185185185185185,0.09649122807017543,0.1,0.0625,0.07964601769911504,0.08661417322834646,0.0703125,0.06132075471698113,0.07194244604316546,0.08130081300813008,0.0603448275862069,0.0975609756097561,0.06748466257668712,0.07746478873239436,0.10256410256410256,0.07142857142857142,0.05365853658536585,0.06976744186046512,0.05333333333333334,0.08737864077669903,0.07058823529411765,0.08490566037735849,0.08333333333333333,0.08108108108108109,0.08571428571428572,0.06493506493506493,0.07857142857142857,0.07692307692307693,0.08130081300813008,0.08333333333333333,0.06217616580310881,0.07352941176470588,0.08,0.09090909090909091,0.07692307692307693,0.07971014492753623,0.09090909090909091,0.07228915662650602,0.08849557522123894,0.06707317073170732,0.09259259259259259,0.07194244604316546,0.08571428571428572,0.08653846153846154,0.08080808080808081,0.09482758620689655,0.06557377049180328,0.10416666666666667,0.08181818181818182,0.07792207792207792,0.07692307692307693,0.058823529411764705,0.08527131782945736,0.05825242718446602,0.08421052631578947,0.09782608695652174,0.05309734513274336,0.06470588235294118
George:q2_dada2_merge,0.07317073170731707,0.11702127659574468,0.11956521739130435,0.11224489795918367,0.11702127659574468,0.07291666666666667,0.08163265306122448,0.10909090909090909,0.08035714285714286,0.0663265306122449,0.07258064516129033,0.08333333333333333,0.07,0.10185185185185185,0.07482993197278912,0.0873015873015873,0.10784313725490197,0.0718954248366013,0.0582010582010582,0.07964601769911504,0.05970149253731343,0.10344827586206896,0.07096774193548387,0.1,0.09782608695652174,0.08270676691729323,0.088,0.07246376811594203,0.08,0.0891089108910891,0.09345794392523364,0.09482758620689655,0.06179775280898876,0.08333333333333333,0.09174311926605505,0.10476190476190476,0.07792207792207792,0.08130081300813008,0.09401709401709402,0.0728476821192053,0.09183673469387756,0.06711409395973154,0.10869565217391304,0.08130081300813008,0.088,0.10227272727272728,0.0963855421686747,0.12121212121212122,0.07547169811320754,0.13924050632911392,0.09574468085106383,0.07913669064748201,0.08571428571428572,0.06976744186046512,0.08771929824561403,0.06896551724137931,0.10126582278481013,0.11842105263157894,0.05714285714285714,0.07142857142857142
George:q2_taxonomy,0.0594059405940594,0.08771929824561403,0.08928571428571429,0.0847457627118644,0.08771929824561403,0.07017543859649122,0.06837606837606838,0.09302325581395349,0.07692307692307693,0.07042253521126761,0.08571428571428572,0.088,0.058823529411764705,0.09523809523809523,0.06626506024096386,0.07586206896551724,0.09090909090909091,0.07647058823529412,0.04784688995215311,0.07633587786259542,0.05228758169934641,0.08490566037735849,0.08187134502923976,0.08256880733944955,0.08108108108108109,0.07947019867549669,0.0763888888888889,0.06369426751592357,0.06944444444444445,0.075,0.0967741935483871,0.08148148148148149,0.05583756345177665,0.07971014492753623,0.078125,0.0975609756097561,0.08823529411764706,0.07801418439716312,0.08888888888888889,0.06470588235294118,0.07692307692307693,0.0658682634730539,0.09009009009009009,0.07801418439716312,0.09929078014184398,0.08411214953271028,0.0784313725490196,0.09243697478991597,0.064,0.10101010101010101,0.07964601769911504,0.09032258064516129,0.08917197452229299,0.05714285714285714,0.08333333333333333,0.05660377358490566,0.08163265306122448,0.09473684210526316,0.05701754385964912,0.06358381502890173
George:q2_filtering_tax,0.04950495049504951,0.08849557522123894,0.09009009009009009,0.08547008547008547,0.08849557522123894,0.06140350877192982,0.06896551724137931,0.08527131782945736,0.06923076923076923,0.05581395348837209,0.06338028169014084,0.07142857142857142,0.059322033898305086,0.0873015873015873,0.060240963855421686,0.06896551724137931,0.09166666666666666,0.06432748538011696,0.04807692307692308,0.06870229007633588,0.05263157894736842,0.08571428571428572,0.06358381502890173,0.08333333333333333,0.08181818181818182,0.0728476821192053,0.07692307692307693,0.0641025641025641,0.06993006993006994,0.07563025210084033,0.08,0.08208955223880597,0.05612244897959184,0.07246376811594203,0.07874015748031496,0.08943089430894309,0.06976744186046512,0.07092198581560284,0.08148148148148149,0.0650887573964497,0.07758620689655173,0.059880239520958084,0.09090909090909091,0.07092198581560284,0.07692307692307693,0.08490566037735849,0.07920792079207921,0.09322033898305085,0.06451612903225806,0.10204081632653061,0.08035714285714286,0.07006369426751592,0.06918238993710692,0.057692307692307696,0.07575757575757576,0.05714285714285714,0.08247422680412371,0.09574468085106383,0.05263157894736842,0.06395348837209303
George:microDecon_step1,0.05263157894736842,0.10377358490566038,0.10576923076923077,0.1,0.10377358490566038,0.07476635514018691,0.08256880733944955,0.09836065573770492,0.07258064516129033,0.06763285024154589,0.07407407407407407,0.09322033898305085,0.07207207207207207,0.11016949152542373,0.0759493670886076,0.08759124087591241,0.12612612612612611,0.09316770186335403,0.06,0.072,0.0547945205479452,0.10204081632653061,0.07878787878787878,0.09900990099009901,0.08653846153846154,0.09090909090909091,0.08823529411764706,0.06666666666666667,0.08888888888888889,0.08928571428571429,0.09322033898305085,0.09448818897637795,0.06914893617021277,0.07575757575757576,0.08264462809917356,0.09401709401709402,0.08536585365853659,0.09022556390977443,0.10236220472440945,0.08074534161490683,0.10185185185185185,0.07547169811320754,0.10679611650485436,0.07407407407407407,0.08823529411764706,0.09,0.08421052631578947,0.10810810810810811,0.07692307692307693,0.10869565217391304,0.08490566037735849,0.087248322147651,0.08609271523178808,0.061224489795918366,0.0967741935483871,0.06060606060606061,0.08791208791208792,0.10227272727272728,0.058823529411764705,0.06626506024096386
George:microDecon_step2,0.06666666666666667,0.11494252873563218,0.11764705882352941,0.10989010989010989,0.11494252873563218,0.07954545454545454,0.10112359550561797,0.09615384615384616,0.08653846153846154,0.06914893617021277,0.08695652173913043,0.10101010101010101,0.07608695652173914,0.11,0.08695652173913043,0.10256410256410256,0.12903225806451613,0.09859154929577464,0.06666666666666667,0.08571428571428572,0.06349206349206349,0.11392405063291139,0.0821917808219178,0.10975609756097561,0.12048192771084337,0.10569105691056911,0.09401709401709402,0.07692307692307693,0.10434782608695652,0.0967741935483871,0.12371134020618557,0.11214953271028037,0.07100591715976332,0.0990990990990991,0.09900990099009901,0.1134020618556701,0.1048951048951049,0.11607142857142858,0.1111111111111111,0.08450704225352113,0.125,0.07857142857142857,0.11904761904761904,0.08695652173913043,0.10344827586206896,0.1125,0.10666666666666667,0.11956521739130435,0.09278350515463918,0.1388888888888889,0.10465116279069768,0.109375,0.1076923076923077,0.07692307692307693,0.10476190476190476,0.0759493670886076,0.11267605633802817,0.14925373134328357,0.04390243902439024,0.07534246575342465
George:microDecon_step3,0.08695652173913043,0.12195121951219512,0.125,0.11627906976744186,0.12195121951219512,0.1111111111111111,0.10714285714285714,0.11224489795918367,0.09090909090909091,0.07692307692307693,0.10091743119266056,0.11827956989247312,0.09302325581395349,0.1276595744680851,0.09848484848484848,0.11711711711711711,0.12359550561797752,0.09420289855072464,0.07471264367816093,0.09,0.06611570247933884,0.136986301369863,0.09285714285714286,0.13157894736842105,0.11392405063291139,0.09166666666666666,0.09821428571428571,0.08,0.0990990990990991,0.12790697674418605,0.10638297872340426,0.10679611650485436,0.08641975308641975,0.09345794392523364,0.10416666666666667,0.11956521739130435,0.09285714285714286,0.10091743119266056,0.12745098039215685,0.09558823529411764,0.11904761904761904,0.08955223880597014,0.14102564102564102,0.10091743119266056,0.11818181818181818,0.12,0.11428571428571428,0.15294117647058825,0.08602150537634409,0.14925373134328357,0.1111111111111111,0.10483870967741936,0.09448818897637795,0.0821917808219178,0.1326530612244898,0.08108108108108109,0.12121212121212122,0.14285714285714285,0.0663265306122449,0.07801418439716312
George:microDecon_step4,0.078125,0.13157894736842105,0.13513513513513514,0.125,0.13157894736842105,0.09090909090909091,0.11538461538461539,0.10752688172043011,0.0967741935483871,0.07344632768361582,0.09615384615384616,0.11363636363636363,0.08641975308641975,0.12359550561797752,0.0859375,0.102803738317757,0.13253012048192772,0.09022556390977443,0.06470588235294118,0.09574468085106383,0.06956521739130435,0.1323529411764706,0.08088235294117647,0.1267605633802817,0.1232876712328767,0.09649122807017543,0.10377358490566038,0.08403361344537816,0.10476190476190476,0.10975609756097561,0.11363636363636363,0.1134020618556701,0.0759493670886076,0.09900990099009901,0.1111111111111111,0.12790697674418605,0.09701492537313433,0.10679611650485436,0.12371134020618557,0.0916030534351145,0.1282051282051282,0.08527131782945736,0.136986301369863,0.09615384615384616,0.11428571428571428,0.13043478260869565,0.125,0.13580246913580246,0.09195402298850575,0.16393442622950818,0.12,0.10084033613445378,0.09917355371900827,0.08955223880597014,0.11702127659574468,0.08823529411764706,0.13333333333333333,0.15789473684210525,0.04639175257731959,0.08148148148148149
